wfgtaxbandits,PaymentBatchDetailReport,PaymentBatchDetail,1.1,2022-03-15T07:00:00Z to 2022-03-16T07:00:00Z,,,,,,
RequestDate,Status,BatchID,MerchantID,BatchDate,RequestID,MerchantReferenceNumber,TransactionReferenceNumber,CurrencyCode,Amount,LocalizedRequestDate
2022-03-15T04:00:21Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,67b47f9ddcd743a5b41e00627255ead7,40230714,USD,4.95,2022-03-14T21:00:21-07:00
2022-03-15T04:06:18Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,a80ae46965b34d2a97f46c993d5bfe3f,40234410,USD,4.25,2022-03-14T21:06:18-07:00
2022-03-15T04:26:54Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,9eace36354d845358ca31f41990ad783,40238118,USD,4.25,2022-03-14T21:26:54-07:00
2022-03-15T04:29:30Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,e03cda74c3ff42c4b3548a03ebb615f0,40239054,USD,4.25,2022-03-14T21:29:30-07:00
2022-03-15T05:22:35Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,9325435d1ad24f6e942488068a9a78e3,40256723,USD,4.25,2022-03-14T22:22:35-07:00
2022-03-15T05:39:57Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,f922c45ff8d24411831174442a3ddb19,40259198,USD,41.5,2022-03-14T22:39:57-07:00
2022-03-15T05:41:05Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,8f2ba93eeba84993a620afc6d69855e5,40259451,USD,4.25,2022-03-14T22:41:05-07:00
2022-03-15T05:56:54Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,ac1842331f3b46cfb6009a5f6da14ccd,40261624,USD,4.25,2022-03-14T22:56:54-07:00
2022-03-15T06:39:21Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,a42a7ec7d92943968ee51616198516f7,40268764,USD,17.82,2022-03-14T23:39:21-07:00
2022-03-15T06:55:29Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,30068c7db1a64e6c95564b67450bd7b0,40271987,USD,3.25,2022-03-14T23:55:29-07:00
2022-03-15T07:00:41Z,BATCHED,20583254301,wfgtaxbandits,2022-03-16T04:24:38Z,6.47E+21,a6cc30bd91ad4b62a90326c5aa0f8474,40272500,USD,31.58,2022-03-15T00:00:41-07:00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
